id,tested_positive
,
0,23.523088
1,9.048351
2,22.18724
3,23.738506
4,23.35333
5,9.056675
6,9.08841
7,20.124016
8,9.922358
9,13.754372
10,15.160782
11,19.646257
12,23.68379
13,10.919779
14,15.429775
15,23.45869
16,23.371904
17,10.592775
18,23.425539
19,15.864347
20,23.57334
21,21.177465
22,12.548061
23,16.737974
24,14.7264805
25,11.801258
26,18.102009
27,19.881083
28,9.129676
29,23.69943
30,9.20501
31,23.707031
32,23.832438
33,20.682764
34,15.501492
35,23.42862
36,15.619415
37,15.154091
38,23.511866
39,20.183023
40,9.067403
41,23.731283
42,20.374598
43,22.158352
44,13.867638
45,9.082979
46,10.738174
47,15.221504
48,15.476994
49,9.092419
50,19.174347
51,20.374533
52,13.5421505
53,9.075775
54,23.732779
55,17.874897
56,20.45431
57,9.485254
58,23.76285
59,13.464703
60,11.596922
61,20.627495
62,20.197893
63,17.758919
64,24.055498
65,15.819889
66,24.072481
67,12.687504
68,24.083069
69,23.906298
70,10.148867
71,21.49135
72,11.662865
73,10.3363285
74,23.932714
75,9.468349
76,9.4820595
77,15.564623
78,9.348783
79,17.586216
80,23.992432
81,11.740812
82,23.88589
83,9.107559
84,23.886724
85,18.058542
86,9.413582
87,24.043125
88,15.823809
89,16.502377
90,20.621264
91,9.416002
92,23.839193
93,23.958776
94,10.281172
95,15.068178
96,23.85829
97,9.459731
98,9.388416
99,17.982252
100,14.628529
101,24.021404
102,20.658485
103,9.46842
104,24.032282
105,14.098612
106,23.850258
107,15.941912
108,9.448782
109,20.637346
110,17.355902
111,21.485634
112,24.086578
113,9.7198105
114,24.082354
115,11.713552
116,9.50897
117,12.006479
118,9.461297
119,13.071054
120,16.667547
121,9.441647
122,9.460501
123,9.486824
124,9.442778
125,10.677811
126,9.456491
127,9.45612
128,23.831453
129,9.490882
130,24.07171
131,14.837175
132,24.098272
133,11.252724
134,24.054312
135,9.494827
136,20.75037
137,9.459348
138,9.782127
139,19.866781
140,9.573207
141,9.459196
142,11.121935
143,24.096394
144,20.51483
145,9.624044
146,9.461784
147,10.697773
148,9.466166
149,11.802948
150,16.301588
151,10.680382
152,20.10053
153,14.376854
154,24.058722
155,9.510418
156,9.478455
157,9.460163
158,9.514738
159,14.848337
160,9.482742
161,23.89888
162,9.460289
163,11.706087
164,24.025362
165,9.518842
166,10.416208
167,20.800434
168,22.474117
169,9.461552
170,20.392937
171,20.719614
172,22.959854
173,13.761051
174,24.047628
175,20.722559
176,12.09376
177,9.868639
178,20.32958
179,20.733782
180,9.490465
181,9.758003
182,21.047422
183,11.367266
184,23.983952
185,9.460131
186,20.668226
187,24.077173
188,9.513584
189,24.099344
190,19.501783
191,9.471012
192,24.08394
193,20.791555
194,24.098574
195,9.476091
196,24.097677
197,16.06059
198,9.4776
199,10.176029
200,9.505067
201,9.460589
202,24.004065
203,9.485411
204,14.512957
205,23.52133
206,10.000082
207,12.513479
208,9.460543
209,9.466645
210,24.09345
211,9.48844
212,9.461504
213,24.08799
214,11.927734
215,9.767048
216,12.679937
217,10.786024
218,21.069181
219,12.120134
220,24.071466
221,20.425566
222,20.645395
223,10.8189945
224,9.461245
225,24.099112
226,9.460123
227,10.888365
228,24.099285
229,12.728172
230,11.274455
231,24.098364
232,12.581598
233,11.099049
234,9.493105
235,10.559413
236,9.491741
237,11.904682
238,9.757832
239,9.895752
240,10.963647
241,16.752079
242,15.300577
243,10.749001
244,24.095749
245,20.360455
246,9.4743595
247,13.0255165
248,9.471735
249,14.633358
250,24.082172
251,17.58789
252,20.215563
253,9.52659
254,10.046347
255,11.348122
256,11.667181
257,20.72242
258,11.579123
259,13.691805
260,9.465803
261,24.096441
262,24.099348
263,10.116539
264,9.4601345
265,11.724297
266,24.088093
267,11.53022
268,14.119995
269,11.848135
270,9.583856
271,17.902119
272,15.071213
273,11.580374
274,9.473348
275,9.462827
276,14.065735
277,11.823147
278,13.43247
279,11.602211
280,11.72439
281,9.658068
282,10.501011
283,24.053373
284,11.652061
285,9.639357
286,10.623608
287,9.460165
288,11.737499
289,11.6371765
290,9.50742
291,24.099098
292,9.460178
293,24.101606
294,9.499956
295,12.757221
296,11.739941
297,10.283378
298,11.302195
299,10.312002
300,20.720488
301,11.609301
302,19.992592
303,16.55079
304,18.016268
305,12.030689
306,22.135773
307,11.863993
308,9.585228
309,9.609831
310,24.09381
311,24.099087
312,16.988632
313,9.774565
314,24.09943
315,11.65304
316,9.46016
317,24.099697
318,13.544594
319,11.73225
320,24.097471
321,16.993334
322,9.463608
323,24.09963
324,24.09846
325,21.560266
326,24.10004
327,24.099417
328,24.068504
329,16.940434
330,9.581179
331,9.461063
332,9.460141
333,9.565567
334,24.10102
335,24.245565
336,9.460396
337,24.099827
338,9.760117
339,24.098234
340,9.552998
341,24.102476
342,16.397285
343,24.112204
344,9.462292
345,9.6756935
346,10.770412
347,16.839891
348,9.48286
349,16.589132
350,9.460365
351,21.641455
352,9.533411
353,13.95392
354,9.820714
355,24.078722
356,9.484442
357,24.31104
358,16.534111
359,11.617304
360,11.685852
361,9.473024
362,11.488159
363,9.489416
364,11.392153
365,15.670284
366,24.29851
367,16.437815
368,9.521471
369,17.560259
370,24.105532
371,9.506357
372,15.786011
373,9.506205
374,9.527309
375,9.460587
376,12.763172
377,24.06701
378,11.985998
379,16.532097
380,24.09485
381,17.18015
382,24.14382
383,9.719627
384,11.4220295
385,24.23134
386,9.472725
387,11.73221
388,24.10664
389,24.131533
390,16.860813
391,13.761768
392,13.13142
393,11.457272
394,24.107382
395,24.115578
396,9.474705
397,12.471386
398,12.737524
399,9.460308
400,24.15706
401,12.557985
402,10.553953
403,15.806046
404,9.461426
405,24.128555
406,9.724319
407,24.119865
408,9.460625
409,11.54768
410,11.82966
411,11.816914
412,16.38925
413,9.513134
414,24.344051
415,9.460329
416,9.655094
417,24.523977
418,17.786213
419,11.221574
420,9.460166
421,9.473688
422,9.460531
423,10.328534
424,9.568257
425,24.596914
426,24.077328
427,9.481337
428,24.253653
429,24.359064
430,9.460251
431,9.460171
432,11.649694
433,11.708046
434,11.66996
435,24.723564
436,10.144356
437,17.234098
438,9.465128
439,17.244263
440,9.462427
441,9.462899
442,11.985144
443,24.248274
444,9.475359
445,15.981091
446,9.464439
447,24.563396
448,24.756224
449,18.593431
450,15.079088
451,9.493907
452,24.112852
453,18.935385
454,13.306528
455,16.718124
456,9.814089
457,24.7964
458,24.693918
459,11.543196
460,16.684307
461,9.565924
462,16.431782
463,24.382988
464,24.663782
465,13.865408
466,24.785456
467,11.204393
468,11.724253
469,24.703936
470,24.79471
471,12.327604
472,24.65707
473,16.688154
474,9.497461
475,15.109755
476,12.552914
477,11.282935
478,14.8887615
479,11.49822
480,9.461829
481,15.310282
482,9.904923
483,16.708324
484,13.696806
485,9.462545
486,9.471695
487,21.447052
488,9.583592
489,9.468245
490,9.461357
491,24.62626
492,16.793922
493,11.757696
494,13.306705
495,11.991873
496,9.485739
497,9.461184
498,9.621969
499,22.796164
500,11.982672
501,9.460444
502,9.518858
503,9.467711
504,23.024706
505,9.471403
506,13.055723
507,9.466582
508,10.599609
509,12.439693
510,24.794874
511,9.500788
512,9.460679
513,9.464043
514,9.460564
515,17.248587
516,24.801603
517,24.799915
518,24.044441
519,19.92246
520,22.051529
521,9.47773
522,12.625271
523,9.710787
524,11.231905
525,10.60498
526,11.3844185
527,11.748335
528,9.460609
529,9.460907
530,9.509995
531,18.882154
532,9.586571
533,17.516487
534,22.357962
535,9.46116
536,24.795195
537,13.604734
538,9.581544
539,9.883167
540,24.45529
541,16.305172
542,16.615791
543,11.636358
544,22.247093
545,10.843414
546,23.960701
547,12.232765
548,11.6517315
549,9.461529
550,11.069759
551,15.290625
552,21.839207
553,24.321514
554,21.029306
555,24.736572
556,9.490194
557,20.287657
558,24.800562
559,9.492876
560,16.99019
561,9.587141
562,9.480137
563,9.701712
564,24.801458
565,9.490671
566,24.805912
567,9.855954
568,11.750795
569,24.8047
570,24.771494
571,24.80472
572,23.182009
573,9.509863
574,12.005268
575,10.188957
576,9.793335
577,24.801456
578,9.611681
579,12.632416
580,9.931356
581,13.1756
582,9.707233
583,11.659479
584,11.345938
585,18.38972
586,10.204277
587,9.812096
588,18.552204
589,24.77466
590,15.428032
591,12.352367
592,9.4866085
593,23.601423
594,10.345888
595,9.637972
596,22.669973
597,13.167316
598,16.322962
599,12.442066
600,13.012405
601,18.14367
602,12.58136
603,14.4398
604,17.990719
605,24.830149
606,12.9398575
607,24.830648
608,24.877443
609,13.262745
610,24.801683
611,10.178986
612,9.832518
613,22.776735
614,24.807281
615,24.801283
616,10.691374
617,24.808935
618,24.829542
619,18.671337
620,24.226713
621,12.917744
622,19.407087
623,10.729759
624,10.661648
625,24.783182
626,24.774195
627,24.77917
628,9.546389
629,10.234395
630,12.220655
631,12.328745
632,20.661095
633,23.390993
634,22.30321
635,12.239227
636,9.820078
637,9.50145
638,13.385347
639,9.5377
640,13.161804
641,12.705923
642,12.610413
643,11.1432705
644,10.764942
645,18.840372
646,24.847574
647,10.978476
648,13.236296
649,20.1733
650,10.113385
651,9.982708
652,12.479666
653,13.335426
654,22.649221
655,13.775623
656,12.984716
657,24.92719
658,20.830965
659,13.679035
660,9.60817
661,13.728413
662,17.782936
663,15.576012
664,25.090025
665,18.185389
666,13.21319
667,10.159983
668,20.161726
669,25.022812
670,15.20125
671,18.305603
672,14.879873
673,25.09744
674,24.882841
675,11.276125
676,25.07336
677,14.683031
678,9.809734
679,13.121946
680,13.077869
681,12.713812
682,14.054295
683,13.005508
684,11.078946
685,25.14033
686,22.6821
687,18.383562
688,25.196533
689,10.0515585
690,12.067808
691,18.152374
692,11.424261
693,13.807562
694,23.183023
695,13.1939125
696,19.308332
697,11.428669
698,23.186646
699,13.665344
700,20.69113
701,11.577858
702,22.628857
703,11.49917
704,22.453794
705,23.220093
706,11.558762
707,13.056135
708,18.767384
709,25.174456
710,11.089485
711,13.759247
712,13.186638
713,23.335943
714,10.916184
715,13.891033
716,19.103355
717,22.607082
718,14.674238
719,13.566359
720,13.6541195
721,16.2319
722,25.195707
723,22.540102
