id,tested_positive
0,23.983921
1,8.503654
2,21.977875
3,24.079134
4,23.922354
5,8.503686
6,8.451387
7,16.50555
8,8.466915
9,12.860027
10,13.012999
11,19.242693
12,24.06754
13,8.548014
14,13.455322
15,22.876694
16,23.946842
17,8.495655
18,24.065733
19,16.289783
20,24.019009
21,19.777422
22,11.663844
23,13.282305
24,12.957192
25,8.893332
26,16.09342
27,16.376717
28,8.521786
29,24.076445
30,8.518806
31,24.081459
32,24.080038
33,16.472971
34,13.153038
35,23.978973
36,12.991718
37,13.422376
38,24.099068
39,16.397968
40,8.455048
41,22.039152
42,16.716154
43,19.673077
44,11.695322
45,8.521817
46,9.125136
47,13.379374
48,13.588587
49,8.496344
50,16.467443
51,16.579012
52,12.672249
53,8.390757
54,24.092379
55,16.596066
56,16.518972
57,8.527046
58,23.937838
59,12.895037
60,9.300265
61,16.64199
62,16.55405
63,14.891352
64,24.10317
65,14.36655
66,22.533722
67,12.927876
68,24.107843
69,22.703953
70,9.314764
71,16.628662
72,10.257265
73,9.337105
74,22.223366
75,8.527039
76,8.528686
77,14.293303
78,8.522665
79,16.200329
80,22.881369
81,12.903103
82,24.143497
83,8.45745
84,24.155598
85,16.243416
86,8.479051
87,24.151873
88,13.311335
89,16.555668
90,16.607662
91,8.482626
92,24.147486
93,24.154613
94,8.7002125
95,14.173573
96,24.154783
97,8.520244
98,8.497481
99,16.640316
100,13.265727
101,23.376015
102,16.639341
103,8.490852
104,22.438723
105,13.148123
106,24.139317
107,14.9813175
108,8.479383
109,16.638565
110,16.50543
111,16.659126
112,22.518223
113,9.670734
114,24.155306
115,12.73875
116,8.552875
117,13.118626
118,8.490873
119,13.146593
120,13.425184
121,8.48564
122,8.485662
123,8.61572
124,8.477882
125,12.802078
126,8.478243
127,8.478332
128,24.155909
129,8.483347
130,22.442629
131,16.543344
132,22.44604
133,12.535498
134,23.51971
135,8.492953
136,16.6404
137,8.478252
138,9.863685
139,16.44503
140,8.480173
141,8.468418
142,12.512496
143,22.411934
144,16.637503
145,8.8458185
146,8.478285
147,12.807112
148,8.478262
149,13.492661
150,16.531645
151,9.245751
152,15.795475
153,16.339848
154,24.155855
155,8.479492
156,8.482794
157,8.4782715
